,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
26851,Andrew Cashner,4 Seam Fastball,0.16,1.43,L,1.0,2.0
26852,Andrew Cashner,4 Seam Fastball,-1.41,2.38,L,1.0,2.0
26853,Andrew Cashner,4 Seam Fastball,0.68,1.71,L,1.0,2.0
26854,Andrew Cashner,Slider,0.74,1.9,R,0.0,0.0
26855,Andrew Cashner,4 Seam Fastball,0.46,2.2,R,0.0,1.0
26856,Andrew Cashner,2 Seam Fastball,-2.06,1.16,R,0.0,2.0
26857,Andrew Cashner,4 Seam Fastball,1.18,1.66,R,0.0,0.0
26858,Andrew Cashner,Slider,0.71,1.02,R,1.0,0.0
26859,Andrew Cashner,4 Seam Fastball,0.58,1.04,R,2.0,0.0
26860,Andrew Cashner,4 Seam Fastball,1.46,2.01,R,3.0,0.0
26861,Andrew Cashner,4 Seam Fastball,0.83,1.54,L,0.0,0.0
26862,Andrew Cashner,4 Seam Fastball,-1.23,3.02,L,0.0,1.0
26863,Andrew Cashner,4 Seam Fastball,1.04,3.35,L,1.0,1.0
26864,Andrew Cashner,Changeup,-0.02,1.47,L,2.0,1.0
26865,Andrew Cashner,Slider,2.0,-0.32,L,2.0,2.0
26866,Andrew Cashner,4 Seam Fastball,-0.33,2.47,L,3.0,2.0
26882,Andrew Cashner,4 Seam Fastball,0.51,1.81,R,0.0,0.0
26883,Andrew Cashner,4 Seam Fastball,-1.14,2.34,R,0.0,1.0
26884,Andrew Cashner,4 Seam Fastball,-0.73,2.16,L,0.0,0.0
26885,Andrew Cashner,4 Seam Fastball,0.43,2.14,L,0.0,1.0
26886,Andrew Cashner,4 Seam Fastball,0.54,3.65,L,0.0,2.0
26887,Andrew Cashner,Changeup,-1.06,0.79,L,1.0,2.0
26888,Andrew Cashner,Slider,0.28,1.91,R,0.0,0.0
26889,Andrew Cashner,4 Seam Fastball,-1.44,2.94,R,0.0,1.0
26890,Andrew Cashner,Slider,-0.66,3.13,R,0.0,2.0
26891,Andrew Cashner,4 Seam Fastball,-0.15,2.76,R,0.0,0.0
26892,Andrew Cashner,4 Seam Fastball,-0.47,2.89,R,0.0,1.0
26893,Andrew Cashner,4 Seam Fastball,0.51,1.06,R,0.0,0.0
26894,Andrew Cashner,4 Seam Fastball,0.75,2.68,R,1.0,0.0
26895,Andrew Cashner,4 Seam Fastball,1.8,1.49,R,1.0,1.0
26896,Andrew Cashner,4 Seam Fastball,0.01,2.89,R,2.0,1.0
26897,Andrew Cashner,4 Seam Fastball,0.49,2.29,R,2.0,2.0
26898,Andrew Cashner,Changeup,-0.49,1.01,L,0.0,0.0
26899,Andrew Cashner,4 Seam Fastball,-0.22,1.28,L,1.0,0.0
26900,Andrew Cashner,4 Seam Fastball,-0.73,2.85,L,2.0,0.0
26901,Andrew Cashner,4 Seam Fastball,1.16,0.94,R,0.0,0.0
26902,Andrew Cashner,4 Seam Fastball,-0.5,1.97,R,1.0,0.0
26903,Andrew Cashner,4 Seam Fastball,0.62,1.55,R,0.0,0.0
26904,Andrew Cashner,Changeup,-0.05,1.91,R,0.0,1.0
26905,Andrew Cashner,4 Seam Fastball,-0.13,2.58,R,0.0,2.0
26906,Andrew Cashner,Changeup,-0.64,1.17,R,0.0,2.0
26907,Andrew Cashner,4 Seam Fastball,-0.51,2.24,R,0.0,2.0
26908,Andrew Cashner,Slider,0.61,1.86,L,0.0,0.0
