,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
682755,Drew Smyly,4 Seam Fastball,1.332,1.91,R,0.0,0.0
682756,Drew Smyly,Slider,-0.449,1.26,R,1.0,0.0
682757,Drew Smyly,4 Seam Fastball,-0.221,1.088,R,2.0,0.0
682758,Drew Smyly,4 Seam Fastball,-0.02,3.065,R,3.0,0.0
682759,Drew Smyly,4 Seam Fastball,0.136,0.917,R,3.0,1.0
682760,Drew Smyly,Slider,-0.6,2.055,R,0.0,0.0
682761,Drew Smyly,4 Seam Fastball,0.433,4.235,R,0.0,0.0
682762,Drew Smyly,Slider,0.435,2.679,R,1.0,0.0
682763,Drew Smyly,Slider,0.285,2.995,R,1.0,1.0
682764,Drew Smyly,Slider,-1.634,-1.094,R,1.0,2.0
682765,Drew Smyly,4 Seam Fastball,-0.006999999999999999,2.801,R,2.0,2.0
682766,Drew Smyly,Slider,-0.43,1.479,L,0.0,0.0
682767,Drew Smyly,Slider,-2.647,-1.486,L,0.0,1.0
682768,Drew Smyly,Cutter,-1.621,-0.415,L,1.0,1.0
682769,Drew Smyly,4 Seam Fastball,-2.053,1.662,L,2.0,1.0
682770,Drew Smyly,4 Seam Fastball,-0.12,3.202,L,3.0,1.0
682771,Drew Smyly,4 Seam Fastball,-0.773,1.371,L,3.0,2.0
682803,Drew Smyly,Slider,-0.722,3.0460000000000003,L,0.0,0.0
682804,Drew Smyly,Cutter,-0.057,1.968,L,0.0,1.0
682805,Drew Smyly,Slider,-0.847,-0.457,L,0.0,2.0
682806,Drew Smyly,4 Seam Fastball,-0.695,2.849,L,1.0,2.0
682807,Drew Smyly,4 Seam Fastball,0.8059999999999999,3.007,R,0.0,0.0
682808,Drew Smyly,Slider,-1.169,0.301,R,1.0,0.0
682809,Drew Smyly,4 Seam Fastball,1.403,2.8760000000000003,R,2.0,0.0
682810,Drew Smyly,4 Seam Fastball,-0.24,2.229,R,3.0,0.0
682811,Drew Smyly,4 Seam Fastball,0.468,2.861,R,3.0,1.0
682812,Drew Smyly,4 Seam Fastball,0.77,4.083,R,3.0,2.0
682813,Drew Smyly,Slider,-0.449,2.278,L,0.0,0.0
682814,Drew Smyly,4 Seam Fastball,0.033,3.672,L,0.0,1.0
682815,Drew Smyly,4 Seam Fastball,-0.581,2.955,L,0.0,2.0
682816,Drew Smyly,Slider,-0.349,1.971,R,0.0,0.0
682817,Drew Smyly,4 Seam Fastball,-0.653,3.483,R,0.0,1.0
682818,Drew Smyly,Slider,-1.711,0.476,R,0.0,2.0
682819,Drew Smyly,Slider,-0.99,-0.14400000000000002,R,1.0,2.0
682820,Drew Smyly,Changeup,0.7390000000000001,1.525,R,2.0,2.0
688065,Shawn Kelley,4 Seam Fastball,0.42,2.84,R,0.0,0.0
688066,Shawn Kelley,4 Seam Fastball,0.89,2.77,R,0.0,1.0
688067,Shawn Kelley,4 Seam Fastball,1.03,2.64,R,0.0,2.0
688068,Shawn Kelley,Slider,0.59,1.38,R,1.0,2.0
688069,Shawn Kelley,Slider,0.79,1.75,R,2.0,2.0
688070,Shawn Kelley,4 Seam Fastball,-0.3,2.64,R,0.0,0.0
688071,Shawn Kelley,4 Seam Fastball,-0.17,3.04,R,0.0,0.0
688072,Shawn Kelley,Slider,1.12,1.59,R,0.0,1.0
688073,Shawn Kelley,4 Seam Fastball,0.6,2.62,R,1.0,1.0
688074,Shawn Kelley,4 Seam Fastball,1.53,3.69,R,1.0,2.0
688075,Shawn Kelley,4 Seam Fastball,0.51,3.47,R,2.0,2.0
688076,Shawn Kelley,Slider,-0.21,3.35,R,3.0,2.0
688077,Shawn Kelley,4 Seam Fastball,0.24,3.47,R,0.0,0.0
688078,Shawn Kelley,4 Seam Fastball,1.22,2.89,R,0.0,1.0
688079,Shawn Kelley,Slider,0.92,1.32,R,1.0,1.0
688080,Shawn Kelley,4 Seam Fastball,0.11,3.52,R,2.0,1.0
688081,Shawn Kelley,4 Seam Fastball,0.11,2.54,R,3.0,1.0
696908,Shawn Kelley,Slider,0.128,1.859,L,0.0,0.0
696909,Shawn Kelley,Slider,0.4920000000000001,1.638,L,0.0,1.0
696910,Shawn Kelley,Slider,-0.474,0.991,L,0.0,2.0
696911,Shawn Kelley,Slider,-0.2,1.945,L,0.0,2.0
696912,Shawn Kelley,4 Seam Fastball,0.35,2.658,L,0.0,0.0
696913,Shawn Kelley,4 Seam Fastball,-0.316,1.971,L,0.0,1.0
696914,Shawn Kelley,Slider,-0.545,1.8,L,0.0,0.0
696915,Shawn Kelley,Slider,-0.602,1.533,L,0.0,1.0
696916,Shawn Kelley,Slider,-1.53,1.06,L,0.0,2.0
696917,Shawn Kelley,Slider,0.937,1.157,L,1.0,2.0
701205,Shelby Miller,2 Seam Fastball,-1.4680000000000002,1.877,L,0.0,0.0
701206,Shelby Miller,2 Seam Fastball,-0.77,2.877,L,1.0,0.0
701207,Shelby Miller,4 Seam Fastball,0.396,2.01,R,0.0,0.0
701208,Shelby Miller,4 Seam Fastball,-0.126,2.873,R,0.0,1.0
701209,Shelby Miller,Cutter,1.371,2.465,R,0.0,2.0
701210,Shelby Miller,2 Seam Fastball,-0.921,4.339,R,1.0,2.0
701211,Shelby Miller,4 Seam Fastball,-0.058,2.233,R,2.0,2.0
701212,Shelby Miller,Cutter,0.435,3.091,R,2.0,2.0
701213,Shelby Miller,4 Seam Fastball,0.187,1.984,R,0.0,0.0
701214,Shelby Miller,2 Seam Fastball,-0.078,2.625,R,0.0,1.0
701215,Shelby Miller,4 Seam Fastball,0.314,3.104,R,0.0,2.0
701216,Shelby Miller,Cutter,0.88,1.52,R,0.0,2.0
701240,Shelby Miller,2 Seam Fastball,0.014,2.484,L,0.0,0.0
701241,Shelby Miller,Changeup,-0.765,1.806,L,0.0,1.0
701242,Shelby Miller,Cutter,-0.7859999999999999,2.8480000000000003,L,0.0,2.0
701243,Shelby Miller,4 Seam Fastball,0.348,1.476,R,0.0,0.0
701244,Shelby Miller,Cutter,0.105,2.126,R,1.0,0.0
701245,Shelby Miller,2 Seam Fastball,-2.134,2.908,L,0.0,0.0
701246,Shelby Miller,2 Seam Fastball,-0.068,2.665,L,1.0,0.0
701247,Shelby Miller,4 Seam Fastball,-0.321,4.897,L,1.0,1.0
701248,Shelby Miller,4 Seam Fastball,-0.92,3.375,L,2.0,1.0
701249,Shelby Miller,Cutter,-0.158,2.355,L,2.0,2.0
