,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
8620,Mike Leake,Sinker,-0.402,2.458,R,3.0,2.0
8628,Mike Leake,Sinker,0.5710000000000001,1.241,R,0.0,0.0
8629,Mike Leake,Sinker,0.195,2.399,R,1.0,0.0
8630,Mike Leake,Knuckle Curve,-1.374,0.8109999999999999,R,1.0,1.0
8631,Mike Leake,Sinker,0.585,2.85,R,2.0,1.0
8632,Mike Leake,Changeup,-1.597,2.877,L,0.0,0.0
8633,Mike Leake,Changeup,-0.5870000000000001,2.264,L,1.0,0.0
8634,Mike Leake,Sinker,0.83,3.073,R,0.0,0.0
8635,Mike Leake,Sinker,1.097,2.784,R,0.0,1.0
8636,Mike Leake,Changeup,1.845,1.29,R,1.0,1.0
8637,Mike Leake,Cutter,1.756,1.855,R,2.0,1.0
8638,Mike Leake,Sinker,0.126,2.241,R,3.0,1.0
8656,Mike Leake,Sinker,-1.249,1.735,L,0.0,0.0
8657,Mike Leake,Cutter,0.78,2.869,L,0.0,1.0
8658,Mike Leake,Sinker,-1.571,2.54,L,0.0,2.0
8659,Mike Leake,Slider,1.361,1.172,L,0.0,2.0
8660,Mike Leake,Changeup,0.662,0.961,R,0.0,0.0
8661,Mike Leake,Changeup,1.616,0.995,R,1.0,0.0
8662,Mike Leake,Sinker,0.903,2.531,R,2.0,0.0
8663,Mike Leake,Sinker,-0.8640000000000001,2.29,R,2.0,1.0
8664,Mike Leake,Cutter,0.205,2.983,L,0.0,0.0
8665,Mike Leake,Sinker,-1.306,2.229,R,0.0,0.0
8666,Mike Leake,Knuckle Curve,-0.679,3.35,R,1.0,0.0
8667,Mike Leake,Sinker,0.636,2.64,R,2.0,0.0
8668,Mike Leake,Sinker,-1.5630000000000002,1.98,R,2.0,1.0
8669,Mike Leake,Sinker,0.412,2.5580000000000003,R,3.0,1.0
8674,Mike Leake,Sinker,0.488,2.377,R,0.0,0.0
8675,Mike Leake,Sinker,0.5710000000000001,2.667,R,0.0,1.0
8676,Mike Leake,Sinker,0.964,1.548,R,0.0,2.0
8705,Mike Leake,Knuckle Curve,0.634,0.155,R,0.0,0.0
8706,Mike Leake,Changeup,0.955,1.5519999999999998,R,1.0,0.0
8707,Mike Leake,Sinker,1.548,2.571,R,2.0,0.0
8708,Mike Leake,Sinker,0.527,2.917,R,3.0,0.0
8709,Mike Leake,Sinker,1.035,1.6230000000000002,R,3.0,1.0
8710,Mike Leake,Sinker,-1.151,2.909,L,0.0,0.0
8711,Mike Leake,Sinker,-2.024,2.462,L,0.0,1.0
8712,Mike Leake,Sinker,-1.653,2.869,L,1.0,1.0
8713,Mike Leake,4 Seam Fastball,-1.63,1.5319999999999998,L,2.0,1.0
8714,Mike Leake,Sinker,-1.599,3.095,L,3.0,1.0
8715,Mike Leake,Sinker,0.406,2.527,R,0.0,0.0
8716,Mike Leake,Sinker,0.282,0.924,R,0.0,1.0
8717,Mike Leake,Sinker,0.224,1.776,R,1.0,1.0
8718,Mike Leake,Sinker,-1.671,2.842,L,0.0,0.0
8719,Mike Leake,Sinker,-1.4680000000000002,2.082,L,1.0,0.0
8720,Mike Leake,Cutter,1.009,2.79,L,1.0,1.0
8721,Mike Leake,Sinker,-0.892,1.365,R,0.0,0.0
8722,Mike Leake,Changeup,0.27,1.356,R,0.0,1.0
8723,Mike Leake,Sinker,-0.762,2.015,R,1.0,1.0
8724,Mike Leake,Cutter,0.34700000000000003,2.869,R,1.0,2.0
8725,Mike Leake,Slider,1.984,0.7,R,1.0,2.0
8726,Mike Leake,Slider,1.712,0.233,R,2.0,2.0
8727,Mike Leake,Cutter,-0.833,2.082,R,3.0,2.0
8751,Mike Leake,Knuckle Curve,-0.772,1.626,L,0.0,0.0
8752,Mike Leake,Changeup,-0.369,1.3030000000000002,L,0.0,1.0
8753,Mike Leake,Cutter,1.289,2.436,L,1.0,1.0
8754,Mike Leake,Cutter,-0.727,3.269,L,1.0,2.0
8755,Mike Leake,Changeup,0.224,1.481,R,0.0,0.0
8756,Mike Leake,Sinker,-0.345,2.639,R,0.0,1.0
8757,Mike Leake,Sinker,0.591,2.464,R,0.0,0.0
8758,Mike Leake,Knuckle Curve,1.822,2.365,R,0.0,1.0
8759,Mike Leake,Slider,-0.056,2.687,R,1.0,1.0
8760,Mike Leake,Sinker,0.959,3.622,R,1.0,2.0
8761,Mike Leake,Slider,0.079,1.846,R,2.0,2.0
8762,Mike Leake,Sinker,0.503,2.564,R,2.0,2.0
8763,Mike Leake,Knuckle Curve,-1.909,4.287,L,0.0,0.0
8764,Mike Leake,Cutter,-0.32299999999999995,3.885,L,1.0,0.0
8765,Mike Leake,Sinker,-1.765,3.446,L,2.0,0.0
8766,Mike Leake,Sinker,-1.093,2.245,L,3.0,0.0
8767,Mike Leake,Sinker,-1.4509999999999998,2.9210000000000003,L,3.0,1.0
8768,Mike Leake,Changeup,-0.219,1.933,R,0.0,0.0
14162,Anthony Bass,4 Seam Fastball,0.938,2.357,R,0.0,0.0
14163,Anthony Bass,Changeup,-0.642,3.896,L,0.0,0.0
14164,Anthony Bass,4 Seam Fastball,0.6629999999999999,2.434,L,0.0,1.0
14165,Anthony Bass,4 Seam Fastball,0.7040000000000001,3.994,L,0.0,2.0
