,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
1195,Clay Buchholz,4 Seam Fastball,-0.528,2.3,L,0.0,0.0
1196,Clay Buchholz,Curveball,0.065,1.865,L,0.0,1.0
1197,Clay Buchholz,2 Seam Fastball,0.7759999999999999,2.15,L,0.0,2.0
1198,Clay Buchholz,Curveball,0.206,1.744,L,1.0,2.0
1199,Clay Buchholz,2 Seam Fastball,0.08800000000000001,1.431,L,0.0,0.0
1200,Clay Buchholz,2 Seam Fastball,-0.097,2.406,L,1.0,0.0
1217,Clay Buchholz,Curveball,0.787,2.291,L,0.0,0.0
1218,Clay Buchholz,2 Seam Fastball,-0.447,1.296,L,1.0,0.0
1219,Clay Buchholz,2 Seam Fastball,-0.243,1.953,L,2.0,0.0
1220,Clay Buchholz,Cutter,0.424,1.911,L,2.0,1.0
1221,Clay Buchholz,Changeup,0.35200000000000004,0.211,L,2.0,2.0
1222,Clay Buchholz,2 Seam Fastball,-0.462,1.521,L,3.0,2.0
1223,Clay Buchholz,Curveball,0.438,1.462,L,0.0,0.0
1224,Clay Buchholz,2 Seam Fastball,-0.58,1.85,L,1.0,0.0
1225,Clay Buchholz,2 Seam Fastball,-0.888,1.975,L,1.0,1.0
1226,Clay Buchholz,Changeup,-1.74,1.675,L,1.0,2.0
1227,Clay Buchholz,2 Seam Fastball,-0.861,1.926,L,0.0,0.0
1228,Clay Buchholz,Cutter,0.126,2.192,L,0.0,1.0
1229,Clay Buchholz,Changeup,-0.583,1.781,L,0.0,2.0
1230,Clay Buchholz,4 Seam Fastball,-0.706,2.91,L,0.0,2.0
1231,Clay Buchholz,2 Seam Fastball,-1.3030000000000002,1.866,R,0.0,0.0
1232,Clay Buchholz,Cutter,0.593,2.014,R,1.0,0.0
1233,Clay Buchholz,2 Seam Fastball,-0.895,3.353,R,1.0,1.0
1234,Clay Buchholz,Cutter,-0.075,3.104,R,2.0,1.0
1235,Clay Buchholz,Cutter,0.695,2.415,R,2.0,2.0
1236,Clay Buchholz,2 Seam Fastball,0.8240000000000001,1.355,R,2.0,2.0
1237,Clay Buchholz,4 Seam Fastball,0.106,1.204,R,3.0,2.0
1238,Clay Buchholz,2 Seam Fastball,0.114,1.429,L,0.0,0.0
1239,Clay Buchholz,2 Seam Fastball,-0.922,1.7280000000000002,L,1.0,0.0
1260,Clay Buchholz,Curveball,0.103,2.396,L,0.0,0.0
1261,Clay Buchholz,2 Seam Fastball,-2.138,2.516,L,0.0,1.0
1262,Clay Buchholz,Curveball,0.579,1.321,L,1.0,1.0
1263,Clay Buchholz,Changeup,0.53,1.01,L,1.0,2.0
1264,Clay Buchholz,Changeup,-0.094,0.5329999999999999,L,2.0,2.0
1265,Clay Buchholz,Curveball,-1.019,2.794,L,0.0,0.0
1266,Clay Buchholz,Curveball,-0.046,3.16,L,0.0,1.0
1267,Clay Buchholz,Cutter,0.473,1.359,L,0.0,2.0
1268,Clay Buchholz,4 Seam Fastball,0.512,1.38,L,0.0,2.0
1269,Clay Buchholz,Changeup,-1.003,2.268,L,0.0,2.0
1270,Clay Buchholz,2 Seam Fastball,-1.432,3.499,L,0.0,0.0
1271,Clay Buchholz,2 Seam Fastball,-0.067,2.39,L,1.0,0.0
1291,Clay Buchholz,2 Seam Fastball,-0.53,1.6030000000000002,L,0.0,0.0
1292,Clay Buchholz,Changeup,-1.197,2.291,L,0.0,1.0
1293,Clay Buchholz,Curveball,0.025,1.537,L,1.0,1.0
1294,Clay Buchholz,Cutter,0.055,0.975,L,2.0,1.0
1295,Clay Buchholz,Changeup,-0.14,1.824,L,2.0,2.0
1296,Clay Buchholz,Changeup,-0.275,-0.784,L,0.0,0.0
1297,Clay Buchholz,2 Seam Fastball,-0.7709999999999999,1.185,L,1.0,0.0
1298,Clay Buchholz,Cutter,0.355,1.163,L,1.0,1.0
1299,Clay Buchholz,Curveball,-0.376,2.21,L,2.0,1.0
1300,Clay Buchholz,Changeup,-0.775,2.154,L,2.0,2.0
1301,Clay Buchholz,2 Seam Fastball,0.72,0.537,L,0.0,0.0
1302,Clay Buchholz,2 Seam Fastball,-0.18,2.014,L,1.0,0.0
1303,Clay Buchholz,2 Seam Fastball,0.073,0.435,L,1.0,1.0
1304,Clay Buchholz,2 Seam Fastball,0.568,1.456,L,2.0,1.0
1305,Clay Buchholz,Curveball,-1.271,1.679,L,2.0,2.0
1306,Clay Buchholz,Curveball,-0.29600000000000004,0.993,L,3.0,2.0
1321,Clay Buchholz,4 Seam Fastball,-0.281,1.956,L,0.0,0.0
1322,Clay Buchholz,Curveball,0.275,1.805,R,0.0,0.0
1323,Clay Buchholz,4 Seam Fastball,0.969,1.5219999999999998,R,0.0,1.0
1324,Clay Buchholz,2 Seam Fastball,-0.174,2.399,R,1.0,1.0
1325,Clay Buchholz,Curveball,-0.34,2.556,L,0.0,0.0
1326,Clay Buchholz,2 Seam Fastball,-0.8009999999999999,2.918,L,0.0,1.0
1327,Clay Buchholz,Curveball,0.523,2.057,L,0.0,0.0
1328,Clay Buchholz,2 Seam Fastball,-0.608,2.758,L,0.0,0.0
1329,Clay Buchholz,2 Seam Fastball,-0.602,2.232,L,0.0,1.0
1330,Clay Buchholz,2 Seam Fastball,-0.547,2.87,L,0.0,2.0
1331,Clay Buchholz,2 Seam Fastball,-1.714,2.15,L,0.0,2.0
3391,Daniel Hudson,2 Seam Fastball,-1.108,3.275,R,0.0,0.0
3392,Daniel Hudson,4 Seam Fastball,-1.198,1.629,L,0.0,0.0
3393,Daniel Hudson,2 Seam Fastball,0.341,1.672,L,1.0,0.0
3394,Daniel Hudson,4 Seam Fastball,-0.258,2.736,L,1.0,1.0
3395,Daniel Hudson,Changeup,-1.209,1.5630000000000002,L,1.0,2.0
3396,Daniel Hudson,4 Seam Fastball,0.384,2.375,L,0.0,0.0
3397,Daniel Hudson,4 Seam Fastball,-0.102,2.358,R,0.0,0.0
3398,Daniel Hudson,2 Seam Fastball,-1.52,1.491,R,0.0,1.0
3399,Daniel Hudson,2 Seam Fastball,-0.493,2.14,R,1.0,1.0
3400,Daniel Hudson,4 Seam Fastball,1.05,2.596,R,1.0,2.0
3401,Daniel Hudson,2 Seam Fastball,-0.42,2.405,R,2.0,2.0
3402,Daniel Hudson,4 Seam Fastball,-0.275,2.418,L,0.0,0.0
7132,Ken Giles,4 Seam Fastball,-0.285,1.481,L,0.0,0.0
7133,Ken Giles,4 Seam Fastball,-1.016,3.0380000000000003,L,1.0,0.0
7134,Ken Giles,4 Seam Fastball,-0.361,2.269,L,1.0,1.0
7135,Ken Giles,4 Seam Fastball,-1.3230000000000002,4.115,R,0.0,0.0
7136,Ken Giles,4 Seam Fastball,-0.7020000000000001,1.972,R,1.0,0.0
7137,Ken Giles,4 Seam Fastball,-0.877,4.118,R,1.0,1.0
7138,Ken Giles,4 Seam Fastball,0.252,2.864,R,2.0,1.0
7139,Ken Giles,Slider,-0.353,2.775,R,2.0,2.0
7140,Ken Giles,4 Seam Fastball,-1.019,3.582,R,2.0,2.0
7141,Ken Giles,4 Seam Fastball,-0.914,3.44,R,3.0,2.0
7142,Ken Giles,2 Seam Fastball,-1.017,2.4130000000000003,R,0.0,0.0
7143,Ken Giles,4 Seam Fastball,-0.436,2.525,R,1.0,0.0
7144,Ken Giles,Slider,-0.017,2.048,R,1.0,1.0
7145,Ken Giles,4 Seam Fastball,-0.166,1.61,L,0.0,0.0
7146,Ken Giles,4 Seam Fastball,-2.076,2.5780000000000003,L,0.0,1.0
7147,Ken Giles,Slider,0.284,1.4169999999999998,L,1.0,1.0
7148,Ken Giles,Slider,-0.3,0.807,L,1.0,2.0
7149,Ken Giles,Slider,-0.76,2.475,R,0.0,0.0
7150,Ken Giles,4 Seam Fastball,-0.471,3.335,R,0.0,1.0
7151,Ken Giles,4 Seam Fastball,0.948,1.871,R,0.0,2.0
7152,Ken Giles,4 Seam Fastball,-0.79,3.196,R,1.0,2.0
7153,Ken Giles,Slider,0.235,2.269,R,1.0,2.0
7154,Ken Giles,2 Seam Fastball,-1.246,2.8310000000000004,R,0.0,0.0
7155,Ken Giles,4 Seam Fastball,-0.136,3.3480000000000003,R,1.0,0.0
7156,Ken Giles,4 Seam Fastball,-0.87,4.104,R,1.0,1.0
7157,Ken Giles,4 Seam Fastball,-0.523,4.021,R,2.0,1.0
7158,Ken Giles,4 Seam Fastball,-0.54,4.123,R,3.0,1.0
7159,Ken Giles,Slider,-1.5,3.504,L,0.0,0.0
7160,Ken Giles,4 Seam Fastball,-2.573,4.7010000000000005,L,1.0,0.0
7161,Ken Giles,4 Seam Fastball,-1.938,4.053,L,2.0,0.0
7162,Ken Giles,4 Seam Fastball,-1.633,4.757,L,3.0,0.0
9399,Daniel Hudson,2 Seam Fastball,-0.976,2.096,L,0.0,0.0
9400,Daniel Hudson,4 Seam Fastball,-1.062,2.318,L,0.0,1.0
