,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
7000,Rick Porcello,SL,0.8390000000000001,0.447,L,1.0,2.0
7001,Rick Porcello,FT,0.939,3.342,L,2.0,2.0
7002,Rick Porcello,FT,-0.464,2.966,L,3.0,2.0
7003,Rick Porcello,CU,-0.7959999999999999,4.26,R,0.0,0.0
7004,Rick Porcello,FT,-0.206,3.161,R,1.0,0.0
7005,Rick Porcello,CU,0.14800000000000002,2.091,R,1.0,1.0
7006,Rick Porcello,FT,-0.962,3.09,L,0.0,0.0
7007,Rick Porcello,CH,-0.7290000000000001,3.711,L,0.0,1.0
7008,Rick Porcello,FT,-0.415,2.198,L,1.0,1.0
7009,Rick Porcello,FT,-1.005,3.46,R,0.0,0.0
7010,Rick Porcello,FT,-0.428,1.264,R,1.0,0.0
7011,Rick Porcello,FT,-0.4970000000000001,2.226,R,2.0,0.0
7012,Rick Porcello,FT,-1.594,2.3,R,2.0,1.0
7013,Rick Porcello,SL,0.468,2.211,R,2.0,2.0
7027,Rick Porcello,FT,1.034,2.16,L,0.0,0.0
7028,Rick Porcello,SL,0.47,3.277,L,1.0,0.0
7029,Rick Porcello,FT,0.43,1.6969999999999998,L,1.0,1.0
7030,Rick Porcello,CU,0.487,0.8079999999999999,L,1.0,2.0
7031,Rick Porcello,FT,0.805,2.176,L,1.0,2.0
7032,Rick Porcello,FT,0.475,1.759,R,0.0,0.0
7033,Rick Porcello,FT,-0.5479999999999999,2.622,R,0.0,1.0
7034,Rick Porcello,FT,-0.648,2.189,L,0.0,0.0
7035,Rick Porcello,SL,1.851,1.824,L,0.0,1.0
7036,Rick Porcello,CH,-0.965,1.314,L,1.0,1.0
7037,Rick Porcello,FT,-0.26,2.692,R,0.0,0.0
7038,Rick Porcello,FT,-1.194,1.675,R,0.0,1.0
7039,Rick Porcello,SL,0.133,2.301,R,1.0,1.0
7040,Rick Porcello,FT,-1.074,1.141,R,1.0,2.0
7041,Rick Porcello,SL,0.315,-0.005,R,2.0,2.0
7042,Rick Porcello,FT,-1.766,2.769,R,3.0,2.0
7043,Rick Porcello,CH,-0.6459999999999999,1.609,L,0.0,0.0
7044,Rick Porcello,CU,-0.73,1.357,L,0.0,1.0
7045,Rick Porcello,FT,-2.267,4.743,L,1.0,1.0
7046,Rick Porcello,CH,0.025,1.318,L,2.0,1.0
7047,Rick Porcello,CU,0.4320000000000001,1.101,L,2.0,2.0
7059,Rick Porcello,FT,0.07,3.384,L,0.0,0.0
7060,Rick Porcello,SL,1.381,2.779,L,0.0,1.0
7061,Rick Porcello,CH,0.8340000000000001,1.211,L,1.0,1.0
7062,Rick Porcello,CH,0.247,2.536,L,2.0,1.0
7063,Rick Porcello,SL,1.429,1.67,L,2.0,2.0
7064,Rick Porcello,FT,0.242,3.154,L,3.0,2.0
7065,Rick Porcello,SL,0.249,2.785,R,0.0,0.0
7066,Rick Porcello,CU,1.064,1.7009999999999998,R,0.0,1.0
7067,Rick Porcello,FT,0.73,1.972,R,1.0,1.0
7068,Rick Porcello,SL,0.71,1.465,R,2.0,1.0
7069,Rick Porcello,FT,-0.06,3.523,R,3.0,1.0
7070,Rick Porcello,FT,0.7290000000000001,1.744,R,3.0,2.0
7071,Rick Porcello,FT,-0.35,3.385,L,0.0,0.0
7072,Rick Porcello,CU,1.211,1.216,L,0.0,1.0
7073,Rick Porcello,FT,-0.331,2.462,L,1.0,1.0
7074,Rick Porcello,SL,0.7909999999999999,1.7619999999999998,R,0.0,0.0
7075,Rick Porcello,FT,-0.595,3.904,R,0.0,1.0
7076,Rick Porcello,SL,-0.311,2.622,R,1.0,1.0
